id,Name,kcal,Protein,Fat,Carbohydrates
1,Beer,158,0.4,0,3.8
2,Hen,212,18.7,15,0.5
3,Pork,410,12.5,40,12.5
4,Potato,81,2,0.1,18.3
5,Lettuce,12,1.3,0.3,2.5
6,Milk,33,3.4,0.1,4.9
7,Eggs,157,12.3,11.7,0.7
8,Potatoes crips,537,5.9,38,52.2
9,Bread,276,7.9,4.5,51.9
10,Chocolate dark,570,6.7,34.3,56.6
11,Chocolate milk,565,9.8,32.8,54.7
12,Lamb,241,14.5,20.3,0
13,Duck,310,13.5,28.4,0.2
14,Goose,368,14.6,34.3,0.1
15,Turkey,127,17.5,6.2,0.2
16,Beef,229,18.3,17.1,0.4
17,Rabbit,162,19.6,9.1,0.3
18,Reindeer,123,21,4,0
19,Apricot,49,0.8,0.2,12
20,Gooseberry,34,0.8,0.2,9.7
21,Pineapple,52,0.5,0.2,12.7
22,Orange,43,0.8,0.2,11
23,Watermelon,27,0.7,0.2,6
24,Raspberry,38,1.2,0.6,12.8
25,Avocado,224,1.9,23.5,6
26,Banana,97,1.2,0.3,23.1
27,Strawberry,41,0.9,0.4,9.7
28,Lemon,31,0.7,0.4,9.2
29,Blackberries,42,1.4,1,12.1
30,Grapefruit,38,0.6,0.2,10
31,Blackcurrant,52,1.2,0.3,17.2
32,Kiwi fruit,56,1,0.6,13.9
33,Pear,52,0.4,0.3,13.4
34,Mandarin,38,0.7,0.3,9.4
35,Mango,70,0.6,0.5,16.5
36,Blueberry,44,0.7,0.6,11.5
37,Melon,32,0.7,0.1,7.7
38,Apple,53,0.4,0.4,13
39,Peach,47,0.8,0.2,12.1
40,Plum,57,0.7,0.2,14.6
41,Cranberry,43,0.4,0.7,9.9
42,Sweet cherry,60,0.9,0.4,14.4
43,Grapes,69,0.7,0.4,17.6
44,Sour cherry,51,1,0.6,12.2
45,Raisin,280,2.7,0.6,71.3
46,Sugar,395,0,0,99.8
47,Honey,324,0.3,0,81.7
